geoid,timestep,deaths
17031381900,2,1
17031390100,2,0
17031390200,2,0
17031390300,2,0
17031390400,2,1
17031390500,2,0
17031390600,2,0
17031390700,2,0
17031400300,2,1
17031400400,2,1
17031400500,2,1
17031400800,2,1
17031410100,2,0
17031410200,2,0
17031410500,2,0
17031410600,2,0
17031410700,2,0
17031410800,2,0
17031410900,2,1
17031411000,2,0
17031411100,2,0
17031411200,2,1
17031420100,2,0
17031420200,2,2
17031420300,2,0
17031420400,2,1
17031420500,2,0
17031420600,2,1
17031420700,2,4
17031420800,2,1
17031421200,2,0
17031430101,2,2
17031430102,2,1
17031430200,2,0
17031430300,2,0
17031430400,2,0
17031430500,2,0
17031430600,2,0
17031430700,2,0
17031430800,2,1
17031430900,2,1
17031431200,2,0
17031431301,2,0
17031431302,2,4
17031431400,2,2
17031440101,2,1
17031440102,2,4
17031440201,2,2
17031440202,2,0
17031440300,2,1
17031440600,2,1
17031440700,2,0
17031440800,2,0
17031440900,2,3
17031450300,2,1
17031460100,2,3
17031460200,2,0
17031460301,2,1
17031460302,2,0
17031460400,2,1
17031460500,2,1
17031460800,2,1
17031461000,2,1
17031470100,2,1
17031480100,2,0
17031480200,2,0
17031480300,2,0
17031480400,2,0
17031480500,2,0
17031490200,2,1
17031490500,2,0
17031490600,2,0
17031490700,2,1
17031490800,2,1
17031490901,2,0
17031490902,2,1
17031491000,2,3
17031491100,2,2
17031491200,2,0
17031491300,2,5
17031491400,2,0
17031500100,2,0
17031500200,2,1
17031500300,2,0
17031510100,2,0
17031510200,2,0
17031510300,2,0
17031520100,2,0
17031520200,2,0
17031520300,2,2
17031520400,2,0
17031520500,2,1
17031520600,2,0
17031530100,2,2
17031530200,2,4
17031530300,2,1
17031530400,2,0
17031530501,2,2
17031530502,2,0
17031530503,2,0
17031530600,2,3
17031540101,2,2
17031540102,2,2
17031550100,2,2
17031550200,2,1
17031560100,2,0
17031560200,2,2
17031560300,2,0
17031560400,2,1
17031560700,2,1
17031560800,2,1
17031560900,2,1
17031561000,2,2
17031561100,2,2
17031570100,2,0
17031570200,2,0
17031570300,2,2
17031570400,2,0
17031570500,2,0
17031580100,2,3
17031580200,2,0
17031580300,2,0
17031580400,2,0
17031580501,2,0
17031580502,2,1
17031580600,2,1
17031580700,2,1
17031580800,2,0
17031590500,2,1
17031590600,2,0
17031590700,2,0
17031600400,2,0
17031600600,2,0
17031600700,2,2
17031600900,2,1
17031610300,2,1
17031610400,2,1
17031610800,2,0
17031611200,2,1
17031611300,2,2
17031611400,2,1
17031611500,2,3
17031611600,2,0
17031611700,2,0
17031611800,2,1
17031611900,2,4
17031612000,2,0
17031612100,2,0
17031612200,2,4
17031620100,2,2
17031620200,2,2
17031620300,2,0
17031620400,2,0
17031630300,2,0
17031630400,2,0
17031630500,2,0
17031630600,2,0
17031630800,2,0
17031630900,2,1
17031640100,2,0
17031640300,2,0
17031640400,2,2
17031640500,2,0
17031640600,2,1
17031640700,2,3
17031640800,2,0
17031650100,2,0
17031650200,2,1
17031650301,2,0
17031650302,2,0
17031650400,2,1
17031650500,2,1
17031660301,2,0
17031660302,2,0
17031660400,2,1
17031660500,2,1
17031660600,2,4
17031660700,2,3
17031660800,2,2
17031660900,2,3
17031661000,2,0
17031661100,2,1
17031670100,2,2
17031670200,2,0
17031670300,2,0
17031670400,2,0
17031670500,2,4
17031670600,2,0
17031670700,2,2
17031670800,2,0
17031670900,2,2
17031671100,2,1
17031671200,2,1
17031671300,2,1
17031671400,2,0
17031671500,2,3
17031671600,2,0
17031671800,2,0
17031671900,2,0
17031672000,2,0
17031680500,2,0
17031680600,2,1
17031680900,2,0
17031681000,2,3
17031681100,2,2
17031681200,2,2
17031681300,2,5
17031681400,2,1
17031690300,2,1
17031690400,2,0
17031690500,2,0
17031690900,2,3
17031691000,2,2
17031691100,2,2
17031691200,2,1
17031691300,2,0
17031691400,2,1
17031691500,2,3
17031700100,2,0
17031700200,2,0
17031700301,2,1
17031700302,2,0
17031700401,2,0
17031700402,2,0
17031700501,2,0
17031700502,2,0
17031710100,2,0
17031710200,2,2
17031710300,2,1
17031710400,2,1
17031710500,2,0
17031710600,2,0
17031710700,2,2
17031710800,2,2
17031710900,2,2
17031711000,2,1
17031711100,2,1
17031711200,2,0
17031711300,2,0
17031711400,2,0
17031711500,2,0
17031720100,2,0
17031720200,2,1
17031720300,2,0
17031720400,2,0
17031720500,2,0
17031720600,2,1
17031720700,2,1
17031730100,2,0
17031730201,2,2
17031730202,2,0
17031730300,2,0
17031730400,2,0
17031730500,2,2
17031730600,2,4
17031730700,2,0
17031740100,2,0
17031740200,2,1
17031740300,2,1
17031740400,2,1
17031750100,2,0
17031750200,2,0
17031750300,2,0
17031750400,2,1
17031750500,2,1
17031750600,2,0
17031760801,2,1
17031760802,2,0
17031760803,2,0
17031770201,2,1
17031770202,2,1
17031770300,2,3
17031770400,2,1
17031770500,2,0
17031770601,2,0
17031770602,2,0
17031770700,2,1
17031770800,2,6
17031770901,2,0
17031770902,2,0
17031800100,2,0
17031800200,2,0
17031800300,2,1
17031800400,2,0
17031800500,2,0
17031800600,2,0
