geoid,timestep,deaths_sp_lag,INTPTLAT,INTPTLON,timestep,svi_theme1,svi_theme2,svi_theme3,svi_theme4,svi_total_,prev_deaths_05back,prev_deaths_04back,prev_deaths_03back,prev_deaths_02back,prev_deaths_01back
17031031000,2,0.4444444444444444,41.972437,-87.6711094,2,0.1908,0.0366,0.653,0.7826,0.2779,0.0,0.0,0.0,0.0,0.0
17031031100,2,1.1111111111111112,41.9726684,-87.6638662,2,0.3877,0.0539,0.7377,0.7807,0.4372,0.0,0.0,0.0,0.0,1.0
17031031200,2,1.3333333333333333,41.9727092,-87.657341,2,0.6617,0.1008,0.8491,0.999,0.8452,0.0,0.0,0.0,0.0,2.0
17031031300,2,1.0,41.9737646,-87.6465298,2,0.5557,0.4528,0.8353,0.9865,0.8211,0.0,0.0,0.0,0.0,1.0
17031031400,2,0.7142857142857143,41.9584475,-87.6424095,2,0.212,0.0931,0.4838,0.9223,0.4099,0.0,0.0,0.0,0.0,1.0
17031031501,2,0.8333333333333334,41.9672886,-87.6524343,2,0.8811,0.5642,0.9011,0.9827,0.9656,0.0,0.0,0.0,0.0,0.0
17031031502,2,0.8,41.9636326,-87.6523656,2,0.7957,0.0488,0.9066,0.9689,0.7825,0.0,0.0,0.0,0.0,0.0
17031031700,2,0.875,41.9654466,-87.6631954,2,0.5978,0.0482,0.7515,0.8988,0.5975,0.0,0.0,0.0,0.0,3.0
17031031800,2,0.5714285714285714,41.9670114,-87.6706209,2,0.3331,0.0241,0.6758,0.9846,0.4674,0.0,0.0,0.0,0.0,0.0
17031031900,2,0.5,41.963374,-87.6701841,2,0.4243,0.0334,0.6376,0.8561,0.4189,0.0,0.0,0.0,0.0,0.0
17031032100,2,0.8333333333333334,41.9581538,-87.6530179,2,0.4256,0.1429,0.6687,0.9444,0.6084,0.0,0.0,0.0,0.0,2.0
17031040100,2,0.3076923076923077,41.9856223,-87.6828856,2,0.4536,0.0411,0.7047,0.8789,0.4844,0.0,0.0,0.0,0.0,0.0
17031040201,2,0.42857142857142855,41.9725804,-87.6940005,2,0.38,0.0459,0.7685,0.6667,0.3832,0.0,0.0,0.0,0.0,0.0
17031040202,2,0.5,41.9798549,-87.694096,2,0.6813,0.192,0.8526,0.9027,0.7527,0.0,0.0,0.0,0.0,2.0
17031040300,2,0.4,41.9769437,-87.7019832,2,0.3778,0.5321,0.7551,0.3015,0.4574,0.0,0.0,0.0,0.0,0.0
17031040401,2,0.16666666666666666,41.9720667,-87.6860816,2,0.2139,0.034,0.7111,0.4631,0.1966,0.0,0.0,0.0,0.0,0.0
17031040402,2,0.0,41.972545,-87.6788181,2,0.1674,0.026,0.5843,0.3844,0.1173,0.0,0.0,0.0,0.0,0.0
17031040600,2,0.125,41.9668338,-87.684018,2,0.2692,0.0302,0.3355,0.6606,0.1886,0.0,0.0,0.0,0.0,0.0
17031040700,2,0.1111111111111111,41.9674314,-87.6940682,2,0.3649,0.0177,0.7589,0.4785,0.2451,0.0,0.0,0.0,0.0,1.0
17031040800,2,0.25,41.963974,-87.6918213,2,0.2001,0.0401,0.5008,0.6557,0.2127,0.0,0.0,0.0,0.0,0.0
17031040900,2,0.125,41.9631847,-87.6838544,2,0.0263,0.0222,0.2986,0.8102,0.105,0.0,0.0,0.0,0.0,0.0
17031050100,2,0.0,41.9578451,-87.676373,2,0.1982,0.0273,0.3329,0.2617,0.063,0.0,0.0,0.0,0.0,0.0
17031050200,2,0.2222222222222222,41.9577405,-87.6837168,2,0.1346,0.1654,0.4546,0.3587,0.1902,0.0,0.0,0.0,0.0,0.0
17031050300,2,0.3333333333333333,41.9578851,-87.6904442,2,0.3016,0.0963,0.7223,0.2797,0.2692,0.0,0.0,0.0,0.0,0.0
17031050500,2,0.2222222222222222,41.9504474,-87.6835073,2,0.0867,0.1085,0.3682,0.4271,0.151,0.0,0.0,0.0,0.0,0.0
17031050600,2,0.0,41.9505477,-87.6761824,2,0.079,0.0193,0.1207,0.4644,0.0315,0.0,0.0,0.0,0.0,0.0
17031050700,2,0.0,41.945071,-87.6760595,2,0.0148,0.0206,0.2658,0.4727,0.0347,0.0,0.0,0.0,0.0,0.0
17031050800,2,0.0,41.9450095,-87.6809279,2,0.2194,0.0456,0.4045,0.0957,0.054,0.0,0.0,0.0,0.0,0.0
17031050900,2,0.3333333333333333,41.9449466,-87.685778,2,0.0748,0.114,0.3695,0.1047,0.0556,0.0,0.0,0.0,0.0,0.0
17031051000,2,0.3333333333333333,41.9413024,-87.6857317,2,0.0742,0.0556,0.6681,0.1487,0.0748,0.0,0.0,0.0,0.0,0.0
17031051100,2,0.2222222222222222,41.9413652,-87.6808266,2,0.0681,0.0424,0.5518,0.2039,0.0659,0.0,0.0,0.0,0.0,0.0
17031051200,2,0.0,41.9414224,-87.6759536,2,0.1182,0.1095,0.4096,0.2945,0.1352,0.0,0.0,0.0,0.0,0.0
17031051300,2,0.0,41.9359971,-87.6758395,2,0.009,0.0623,0.305,0.0482,0.0064,0.0,0.0,0.0,0.0,0.0
17031051400,2,0.25,41.935442,-87.6809594,2,0.3036,0.0617,0.479,0.5093,0.2499,0.0,0.0,0.0,0.0,0.0
17031060100,2,0.5,41.9575311,-87.6666112,2,0.0231,0.0523,0.3862,0.3179,0.0607,0.0,0.0,0.0,0.0,0.0
17031060200,2,0.0,41.9579036,-87.6715175,2,0.2673,0.0305,0.6671,0.8272,0.3241,0.0,0.0,0.0,0.0,0.0
17031060300,2,0.0,41.9506049,-87.6713327,2,0.0167,0.0613,0.3791,0.1663,0.0324,0.0,0.0,0.0,0.0,0.0
17031060400,2,0.125,41.9506731,-87.6665364,2,0.052,0.0286,0.3689,0.7919,0.141,0.0,0.0,0.0,0.0,0.0
17031060500,2,0.2857142857142857,41.95272,-87.6605008,2,0.4433,0.5739,0.7583,0.9091,0.7099,0.0,0.0,0.0,0.0,0.0
17031060800,2,0.6666666666666666,41.953959,-87.6426489,2,0.0793,0.0225,0.3345,0.6522,0.1015,0.0,0.0,0.0,0.0,1.0
17031060900,2,0.125,41.9515166,-87.6417784,2,0.1972,0.0315,0.5933,0.701,0.2245,0.0,0.0,0.0,0.0,0.0
17031061000,2,0.2857142857142857,41.9492206,-87.6519703,2,0.0739,0.001,0.3756,0.5167,0.0524,0.0,0.0,0.0,0.0,0.0
17031061100,2,0.2857142857142857,41.9491398,-87.6568035,2,0.0591,0.0026,0.1724,0.3899,0.0161,0.0,0.0,0.0,0.0,1.0
17031061200,2,0.2857142857142857,41.9490599,-87.6616427,2,0.0906,0.009,0.1169,0.2726,0.0103,0.0,0.0,0.0,0.0,0.0
